"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-12-24","6,040.04","5,981.70","6,040.08","5,981.44","0.00K","1.10%"
"2024-12-23","5,974.07","5,940.25","5,978.25","5,902.57","0.00K","0.73%"
"2024-12-20","5,930.85","5,842.00","5,982.06","5,832.30","0.00K","1.09%"
"2024-12-19","5,867.08","5,912.71","5,935.52","5,866.07","0.00K","-0.09%"
"2024-12-18","5,872.16","6,047.65","6,070.67","5,867.79","0.00K","-2.95%"
"2024-12-17","6,050.61","6,052.55","6,057.68","6,035.19","0.00K","-0.39%"
"2024-12-16","6,074.08","6,063.79","6,085.19","6,059.14","0.00K","0.38%"
"2024-12-13","6,051.09","6,068.17","6,078.58","6,035.77","0.00K","0.00%"
"2024-12-12","6,051.25","6,074.29","6,079.68","6,051.25","0.00K","-0.54%"
"2024-12-11","6,084.19","6,060.15","6,092.59","6,060.15","0.00K","0.82%"
"2024-12-10","6,034.91","6,057.59","6,065.40","6,029.89","0.00K","-0.30%"
"2024-12-9","6,052.85","6,083.01","6,088.51","6,048.63","0.00K","-0.61%"
"2024-12-6","6,090.27","6,081.38","6,099.97","6,079.98","0.00K","0.25%"
"2024-12-5","6,075.11","6,089.03","6,094.55","6,072.90","0.00K","-0.19%"
"2024-12-4","6,086.49","6,069.39","6,089.84","6,061.06","0.00K","0.61%"
"2024-12-3","6,049.88","6,042.97","6,052.07","6,033.39","0.00K","0.05%"
"2024-12-2","6,047.15","6,040.11","6,053.58","6,035.33","0.00K","0.24%"
"2024-11-29","6,032.38","6,003.98","6,044.17","6,003.98","0.00K","0.56%"
"2024-11-27","5,998.74","6,014.11","6,020.16","5,984.87","0.00K","-0.38%"
"2024-11-26","6,021.63","6,000.03","6,025.42","5,992.27","0.00K","0.57%"
"2024-11-25","5,987.37","5,992.28","6,020.75","5,963.91","0.00K","0.30%"
"2024-11-22","5,969.34","5,944.36","5,972.90","5,944.36","0.00K","0.35%"
"2024-11-21","5,948.71","5,940.58","5,963.32","5,887.26","0.00K","0.53%"
"2024-11-20","5,917.11","5,914.34","5,920.67","5,860.56","0.00K","0.00%"
"2024-11-19","5,916.98","5,870.05","5,923.51","5,855.29","0.00K","0.40%"
"2024-11-18","5,893.62","5,874.17","5,908.12","5,865.95","0.00K","0.39%"
"2024-11-15","5,870.62","5,912.79","5,915.32","5,853.01","","-1.32%"
